Disease,Herb,Preparation,Dosage,Primary_Use
Flu,Rosemary,Paste,1 cup daily,Digestive aid
Cholera,Ginger Root,Oil Extract,2 tsp twice a day,Blood sugar control
Allergy,Clove,Infusion,2 tsp twice a day,Pain relief
Diabetes,Lemongrass,Paste,1 cup daily,Calming
Bronchitis,Cinnamon,Decoction,Apply externally,Antioxidant
Typhoid,Peppermint,Oil Extract,Apply externally,Liver support
Cholera,Coriander,Powder,Apply externally,Detoxifying
Malaria,Thyme,Paste,500mg capsule daily,Calming
Stroke,Clove,Decoction,Apply externally,Anti-inflammatory
COVID-19,Clove,Powder,1 cup daily,Liver support
Gastritis,Thyme,Paste,500mg capsule daily,Immune booster
Anxiety,Fenugreek,Oil Extract,1 cup daily,Antibacterial
Allergy,Cinnamon,Tea,1 cup daily,Digestive aid
Insomnia,Mint,Paste,Apply externally,Immune booster
HIV/AIDS,Ashwagandha,Tea,500mg capsule daily,Pain relief
Anemia,Mint,Tea,2 tsp twice a day,Antiviral
Typhoid,Sage,Infusion,Apply externally,Detoxifying
Cholera,Neem,Tea,1 cup daily,Antiviral
Depression,Lavender,Tea,1 cup daily,Liver support
Depression,Turmeric,Oil Extract,2 tsp twice a day,Antibacterial
Cholera,Holy Basil,Oil Extract,Apply externally,Antioxidant
Sinusitis,Ashwagandha,Powder,Apply externally,Detoxifying
Flu,Basil,Decoction,500mg capsule daily,Immune booster
Migraine,Ashwagandha,Paste,2 tsp twice a day,Blood sugar control
HIV/AIDS,Dandelion,Infusion,1 cup daily,Detoxifying
COVID-19,Aloe Vera,Paste,1 cup daily,Detoxifying
Cholera,Rosemary,Infusion,500mg capsule daily,Anti-inflammatory
Diabetes,Echinacea,Tea,Apply externally,Respiratory support
Insomnia,Lavender,Infusion,2 tsp twice a day,Blood sugar control
Flu,Clove,Oil Extract,2 tsp twice a day,Antioxidant
Cholera,Fenugreek,Tea,500mg capsule daily,Immune booster
Malaria,Fenugreek,Infusion,1 cup daily,Antioxidant
Diarrhea,Basil,Tea,Apply externally,Antioxidant
Diarrhea,Mint,Infusion,2 tsp twice a day,Antibacterial
Insomnia,Ashwagandha,Powder,Apply externally,Pain relief
Flu,Basil,Tea,1 cup daily,Detoxifying
Stroke,Moringa,Oil Extract,Apply externally,Blood sugar control
Kidney Disease,Chamomile,Infusion,500mg capsule daily,Calming
Arthritis,Aloe Vera,Powder,1 cup daily,Respiratory support
Gastritis,Ginger Root,Oil Extract,Apply externally,Immune booster
Tuberculosis,Dandelion,Oil Extract,500mg capsule daily,Blood sugar control
Malaria,Turmeric,Powder,500mg capsule daily,Liver support
Malaria,Lavender,Powder,Apply externally,Digestive aid
Gout,Garlic,Oil Extract,2 tsp twice a day,Antiviral
Pneumonia,Moringa,Paste,500mg capsule daily,Calming
Arthritis,Aloe Vera,Paste,500mg capsule daily,Immune booster
HIV/AIDS,Dandelion,Decoction,2 tsp twice a day,Antioxidant
Migraine,Licorice Root,Tea,1 cup daily,Anti-inflammatory
Migraine,Ginger Root,Powder,Apply externally,Liver support
Typhoid,Ginseng,Infusion,Apply externally,Respiratory support
Diabetes,Peppermint,Paste,2 tsp twice a day,Immune booster
Pneumonia,Aloe Vera,Powder,Apply externally,Calming
COVID-19,Fenugreek,Oil Extract,2 tsp twice a day,Detoxifying
Kidney Disease,Ginger Root,Paste,500mg capsule daily,Antibacterial
Ulcer,Holy Basil,Infusion,Apply externally,Liver support
HIV/AIDS,Moringa,Decoction,2 tsp twice a day,Antioxidant
Pneumonia,Lavender,Tea,Apply externally,Detoxifying
Insomnia,Cinnamon,Paste,2 tsp twice a day,Anti-inflammatory
Gout,Licorice Root,Infusion,1 cup daily,Respiratory support
Anemia,Rosemary,Oil Extract,1 cup daily,Antibacterial
Obesity,Ginseng,Paste,Apply externally,Calming
Ulcer,Neem,Tea,500mg capsule daily,Antibacterial
COVID-19,Clove,Decoction,1 cup daily,Calming
Hypertension,Basil,Decoction,1 cup daily,Antiviral
Asthma,Basil,Infusion,2 tsp twice a day,Detoxifying
Liver Disease,Holy Basil,Tea,2 tsp twice a day,Respiratory support
Depression,Dandelion,Powder,500mg capsule daily,Immune booster
Allergy,Cinnamon,Paste,Apply externally,Pain relief
Ulcer,Basil,Powder,1 cup daily,Pain relief
Cholera,Chamomile,Decoction,2 tsp twice a day,Pain relief
Asthma,Ginseng,Paste,500mg capsule daily,Respiratory support
Flu,Peppermint,Powder,500mg capsule daily,Pain relief
Anemia,Mint,Infusion,Apply externally,Blood sugar control
Diarrhea,Parsley,Decoction,1 cup daily,Antiviral
Anxiety,Fenugreek,Paste,1 cup daily,Anti-inflammatory
Gastritis,Mint,Oil Extract,Apply externally,Antibacterial
Sinusitis,Neem,Infusion,Apply externally,Blood sugar control
Gout,Aloe Vera,Oil Extract,500mg capsule daily,Antibacterial
Migraine,Garlic,Powder,Apply externally,Detoxifying
Depression,Thyme,Powder,500mg capsule daily,Antioxidant
Ulcer,Holy Basil,Paste,2 tsp twice a day,Calming
Malaria,Aloe Vera,Powder,500mg capsule daily,Anti-inflammatory
Insomnia,Coriander,Decoction,2 tsp twice a day,Calming
Allergy,Sage,Powder,2 tsp twice a day,Antiviral
Ulcer,Ashwagandha,Decoction,2 tsp twice a day,Antioxidant
Depression,Moringa,Infusion,Apply externally,Antioxidant
Gout,Holy Basil,Powder,Apply externally,Liver support
Malaria,Dandelion,Oil Extract,2 tsp twice a day,Detoxifying
Liver Disease,Peppermint,Powder,500mg capsule daily,Immune booster
Obesity,Neem,Decoction,1 cup daily,Pain relief
Asthma,Basil,Infusion,Apply externally,Liver support
Allergy,Turmeric,Tea,500mg capsule daily,Immune booster
Tuberculosis,Dandelion,Powder,500mg capsule daily,Blood sugar control
Anemia,Dandelion,Decoction,1 cup daily,Digestive aid
Gastritis,Lavender,Oil Extract,500mg capsule daily,Antiviral
Liver Disease,Licorice Root,Oil Extract,1 cup daily,Antibacterial
Stroke,Turmeric,Paste,Apply externally,Immune booster
Flu,Ginger Root,Paste,2 tsp twice a day,Digestive aid
Depression,Basil,Oil Extract,500mg capsule daily,Blood sugar control
Stroke,Lemongrass,Tea,1 cup daily,Antioxidant
Epilepsy,Licorice Root,Tea,500mg capsule daily,Antioxidant
Anxiety,Garlic,Oil Extract,Apply externally,Respiratory support
Gastritis,Licorice Root,Infusion,500mg capsule daily,Blood sugar control
Cholera,Licorice Root,Tea,2 tsp twice a day,Calming
Anemia,Ginseng,Oil Extract,2 tsp twice a day,Liver support
Tuberculosis,Coriander,Infusion,Apply externally,Pain relief
Arthritis,Neem,Infusion,Apply externally,Pain relief
Ulcer,Mint,Infusion,1 cup daily,Liver support
Allergy,Garlic,Tea,1 cup daily,Respiratory support
Depression,Clove,Paste,2 tsp twice a day,Blood sugar control
Kidney Disease,Neem,Powder,2 tsp twice a day,Detoxifying
Diabetes,Peppermint,Infusion,Apply externally,Antiviral
Epilepsy,Turmeric,Tea,2 tsp twice a day,Antiviral
Depression,Thyme,Paste,1 cup daily,Blood sugar control
Gastritis,Echinacea,Powder,1 cup daily,Liver support
Liver Disease,Coriander,Oil Extract,Apply externally,Detoxifying
Arthritis,Peppermint,Infusion,2 tsp twice a day,Antioxidant
Migraine,Sage,Tea,500mg capsule daily,Digestive aid
Stroke,Moringa,Infusion,1 cup daily,Liver support
Typhoid,Moringa,Infusion,500mg capsule daily,Respiratory support
Epilepsy,Holy Basil,Oil Extract,500mg capsule daily,Digestive aid
Anxiety,Echinacea,Paste,500mg capsule daily,Anti-inflammatory
Stroke,Rosemary,Decoction,Apply externally,Antibacterial
Hypertension,Neem,Powder,Apply externally,Pain relief
Flu,Lemongrass,Oil Extract,500mg capsule daily,Antibacterial
Malaria,Basil,Infusion,500mg capsule daily,Calming
Gastritis,Parsley,Decoction,Apply externally,Immune booster
Diabetes,Garlic,Tea,1 cup daily,Pain relief
Anemia,Garlic,Paste,500mg capsule daily,Antioxidant
Typhoid,Dandelion,Decoction,2 tsp twice a day,Antiviral
Epilepsy,Lemongrass,Powder,Apply externally,Antibacterial
Asthma,Mint,Powder,500mg capsule daily,Respiratory support
Kidney Disease,Coriander,Infusion,2 tsp twice a day,Liver support
Asthma,Dandelion,Powder,Apply externally,Respiratory support
Ulcer,Dandelion,Decoction,1 cup daily,Detoxifying
Obesity,Mint,Decoction,500mg capsule daily,Antioxidant
Cancer,Licorice Root,Decoction,Apply externally,Immune booster
Anemia,Ginseng,Tea,2 tsp twice a day,Detoxifying
Flu,Thyme,Powder,1 cup daily,Antioxidant
Anxiety,Ginseng,Decoction,1 cup daily,Calming
Liver Disease,Garlic,Decoction,1 cup daily,Digestive aid
Liver Disease,Ashwagandha,Paste,500mg capsule daily,Antibacterial
HIV/AIDS,Rosemary,Decoction,2 tsp twice a day,Antibacterial
Kidney Disease,Basil,Decoction,2 tsp twice a day,Antioxidant
Anemia,Lemongrass,Oil Extract,Apply externally,Liver support
Hypertension,Basil,Paste,500mg capsule daily,Antiviral
Sinusitis,Licorice Root,Infusion,Apply externally,Immune booster
Bronchitis,Neem,Paste,500mg capsule daily,Immune booster
Anxiety,Coriander,Tea,1 cup daily,Calming
Anxiety,Lemongrass,Tea,2 tsp twice a day,Immune booster
Anxiety,Sage,Infusion,1 cup daily,Digestive aid
COVID-19,Lavender,Oil Extract,1 cup daily,Digestive aid
Asthma,Echinacea,Decoction,1 cup daily,Anti-inflammatory
COVID-19,Coriander,Oil Extract,Apply externally,Respiratory support
Depression,Ginger Root,Paste,2 tsp twice a day,Pain relief
Malaria,Basil,Tea,2 tsp twice a day,Detoxifying
Epilepsy,Cinnamon,Infusion,1 cup daily,Digestive aid
Depression,Moringa,Powder,1 cup daily,Antibacterial
Insomnia,Lavender,Decoction,2 tsp twice a day,Pain relief
Ulcer,Moringa,Infusion,1 cup daily,Anti-inflammatory
Pneumonia,Licorice Root,Oil Extract,1 cup daily,Antioxidant
