Disease,Symptoms
Crohn's Disease,weakness; loss of appetite; stridor; breast pain; confusion
Diverticulitis,gurgling; dizziness; hearing loss
Celiac Disease,bad breath; blood in urine; speech difficulty; dry mouth; abdominal pain; red eye
Constipation,hoarseness; heat intolerance; fatigue; wheezing; halitosis; slow wound healing; memory loss
Diarrhea variant 4,floaters; leg swelling; chest pain; headache; balance problems
Urinary Tract Infection (acute),vision changes; severe pain; abdominal pain; numbness; persistent cough; eye pain
Pyelonephritis (chronic),nausea; jaundice; cold intolerance
Kidney Stones,dizziness; loss of appetite; itching; hair loss
Acute Renal Failure,polyuria; anxiety; persistent cough; jaundice; vaginal discharge; dry skin; confusion; swelling
Chronic Kidney Disease variant 2,weakness in limb; cold intolerance; blurred vision; diarrhea; frequent infections; generalized pain
Urinary Incontinence,edema; odor; anxiety
Benign Prostatic Hyperplasia (acute),ear discharge; blurred vision; red eye; difficulty swallowing; breast lump; urinary frequency; floaters; infertility
Prostatitis (chronic),wheezing; diarrhea; pale skin; vision changes; easy bruising; muscle pain
Erectile Dysfunction (chronic),night sweats; severe pain; hearing loss; dizziness; vomiting
Endometriosis (acute),vomiting; blurred vision; diarrhea
Polycystic Ovary Syndrome (chronic),stridor; blocked urine flow; lymphadenopathy; loss of appetite; depression; headache; dry mouth; yellow eyes
Pelvic Inflammatory Disease (acute),constipation; breast lump; burning urination; easy bruising; abnormal vaginal bleeding; vision changes; bloody cough; weakness
Ovarian Cyst (chronic),dry skin; bruising; burning urination; abdominal pain; excessive thirst
Ectopic Pregnancy,ear discharge; night sweats; slow wound healing; balance problems; hoarseness; abdominal pain; urinary urgency
Preeclampsia variant 3 #46,blocked urine flow; bloating; postmenopausal bleeding; itching; excessive thirst; hoarseness; lymphadenopathy
Gestational Diabetes (chronic),depression; odor; hair loss; heat intolerance; trauma history; leg swelling
Pneumothorax,chest pain; cold intolerance; slow wound healing; localized pain; rash; runny nose; generalized pain
Pulmonary Embolism,urinary frequency; urinary urgency; fever; runny nose; weight gain
Deep Vein Thrombosis,slow wound healing; infertility; dizziness; weight gain; stridor; finger clubbing; chest pain
Myocardial Infarction (acute),gurgling; confusion; ear discharge
Angina,breast pain; floaters; urinary frequency; sweating; blocked urine flow; bruising
Heart Failure variant 2,jaundice; bad breath; insomnia; dry skin; nausea; weakness; night sweats; sweating
Hypertension (acute),weakness; trauma history; nausea; rash; eye pain; slow wound healing; vision changes
Hypotension variant 5,cold intolerance; eye pain; breast pain; rash; ear discharge; abnormal vaginal bleeding
Arrhythmia (chronic),bloating; urinary urgency; blurred vision; redness; trauma history; dry mouth; numbness
Atrial Fibrillation (chronic),easy bruising; bruising; fatigue; hoarseness; menstrual irregularities; dry skin; headache
Endocarditis,ear pain; bleeding; ear discharge
Pericarditis (acute),postmenopausal bleeding; muscle pain; swelling; jaundice
Rheumatic Heart Disease,fever; tingling; gurgling
Stroke,sore throat; loss of appetite; vaginal discharge; hallucinations; loss of consciousness; difficulty swallowing
Transient Ischemic Attack variant 1,depression; easy bruising; lymphadenopathy; burning urination; syncope; menstrual irregularities; stridor
Migraine (chronic),blurred vision; shortness of breath; floaters
Tension Headache,pale skin; excessive thirst; vision changes
Cluster Headache,infertility; loss of consciousness; finger clubbing; breast pain; swelling; bloating; shortness of breath
Meningitis (chronic),chills; recurrent infections; hair loss; floaters; localized pain
Encephalitis,vomiting; blurred vision; abdominal pain; joint pain; dry mouth
Seizure Disorder variant 4,confusion; nausea; menstrual irregularities; bruising; gurgling; urinary frequency
Epilepsy (acute) #69,yellow eyes; bad breath; chills; syncope
Multiple Sclerosis (acute),finger clubbing; bloating; confusion; speech difficulty; nasal congestion; bad breath; urinary urgency
Parkinson's Disease,wheezing; leg swelling; weight gain; back pain; abdominal pain
Alzheimer's Disease variant 5,muscle pain; sneezing; sore throat; cold intolerance
Peripheral Neuropathy variant 5,postmenopausal bleeding; edema; syncope; sore throat
Bell's Palsy variant 2,tingling; tinnitus; abnormal vaginal bleeding; insomnia; postmenopausal bleeding; polyuria; red eye; severe pain
Guillain-Barre Syndrome,leg swelling; finger clubbing; hair loss; jaundice; acne; pale skin; night sweats
Osteoarthritis (acute),dizziness; hearing loss; eye pain; acne; bleeding; frequent infections
Rheumatoid Arthritis variant 1,dry mouth; headache; burning urination; weakness in limb; syncope
Gout,tinnitus; red eye; palpitations; headache; blocked urine flow
Osteoporosis (acute),syncope; leg swelling; vomiting; heat intolerance; dry skin
Scoliosis (acute),pelvic pain; tinnitus; polyuria; anxiety; frequent infections; stridor; fatigue
Herniated Disc,lymphadenopathy; excessive thirst; edema; nasal congestion; jaundice; cold intolerance
Sciatica,weakness in limb; night sweats; headache; red eye; abdominal pain; lymphadenopathy
Sprain/Strain variant 5,persistent cough; nausea; weakness in limb; leg swelling; sore throat
Fracture,joint pain; loss of consciousness; eye pain
Systemic Lupus Erythematosus variant 5,confusion; memory loss; heat intolerance; sweating; blood in urine; blocked urine flow
Psoriasis,pelvic pain; breast lump; bad breath; urinary frequency; trauma history
Eczema (acute),weakness; frequent infections; acne; leg swelling; yellow eyes; dizziness; diarrhea
Acne,trauma history; pelvic pain; redness; muscle pain; bloody cough; slow wound healing; cold intolerance
Cellulitis,yellow eyes; nausea; polyuria; slow wound healing
Impetigo variant 3,urinary urgency; bruising; edema; generalized pain
MRSA Infection,menstrual irregularities; loss of appetite; dry skin; loss of consciousness; nausea; bruising; depression; vaginal discharge
Herpes Simplex (chronic) #92,frequent infections; yellow eyes; loss of appetite; easy bruising; generalized pain; stridor; severe pain; confusion
Herpes Zoster (Shingles) (chronic),leg swelling; easy bruising; vision changes
HIV Infection (acute),blood in urine; shortness of breath; bruising; runny nose; ear discharge; urinary frequency; odor
AIDS (acute),nasal congestion; hoarseness; weight loss; night sweats; syncope; swelling
Mononucleosis,weakness in limb; odor; mood swings
Lyme Disease,confusion; palpitations; slow wound healing; urinary frequency; odor; hair loss; loss of appetite; dry skin
Malaria,night sweats; sweating; runny nose; localized pain; odor; hair loss
Dengue,bloody cough; eye pain; fatigue; breast lump
Typhoid Fever variant 1,trauma history; bloody cough; back pain; eye pain; heat intolerance
Rabies,abnormal vaginal bleeding; gurgling; halitosis; red eye; difficulty swallowing
Tetanus (chronic),back pain; bruising; lymphadenopathy; halitosis; hearing loss; nasal congestion; blocked urine flow
Sepsis,excessive thirst; eye pain; tinnitus; odor; redness; bad breath; vaginal discharge; weakness in limb
Anemia,breast pain; sweating; sneezing; recurrent infections; cold intolerance; weight loss; muscle pain
Iron Deficiency Anemia (acute),leg swelling; balance problems; blocked urine flow
Vitamin B12 Deficiency,abdominal pain; persistent cough; memory loss; constipation; redness; nausea; postmenopausal bleeding
Thalassemia variant 5,rash; red eye; speech difficulty; weight gain
Hemophilia,vomiting; hoarseness; red eye; urinary urgency; chest pain; breast pain
Leukemia,menstrual irregularities; weakness in limb; blocked urine flow
Lymphoma variant 1,pelvic pain; nausea; blocked urine flow; hoarseness
Melanoma,pale skin; diarrhea; persistent cough
Breast Cancer,yellow eyes; frequent infections; weight gain; weight loss; palpitations; redness; hearing loss; generalized pain
Lung Cancer,postmenopausal bleeding; loss of consciousness; hearing loss; red eye
Colon Cancer (chronic),fever; nausea; shortness of breath; muscle pain; ear discharge; night sweats; anxiety
Prostate Cancer (acute) #115,cold intolerance; confusion; vision changes; bloating; bad breath; redness; back pain; bleeding
Cervical Cancer,weakness; back pain; breast pain
Endometrial Cancer,frequent infections; hair loss; floaters; dizziness; bloating; tingling; dry skin; hallucinations
Pancreatic Cancer (acute),acne; speech difficulty; excessive thirst
Bladder Cancer variant 1,persistent cough; weight gain; swelling; vision changes
Skin Cancer,heat intolerance; burning urination; back pain
Thyroid Disease variant 2,breast pain; runny nose; easy bruising; nausea; confusion; blood in urine; dizziness
Hyperthyroidism (acute),mood swings; weakness in limb; halitosis; anxiety; shortness of breath; pelvic pain; hearing loss
Hypothyroidism variant 5,finger clubbing; pelvic pain; blocked urine flow
Graves' Disease (acute),gurgling; shortness of breath; burning urination; halitosis; dizziness
Hashimoto's Thyroiditis variant 5,back pain; wheezing; slow wound healing; acne; abdominal pain
Adrenal Insufficiency variant 2,stridor; abnormal vaginal bleeding; yellow eyes; weight loss; fatigue; burning urination; mood swings
Cushing's Syndrome,leg swelling; sore throat; bad breath; severe pain; tinnitus
Addison's Disease,balance problems; acne; runny nose; lymphadenopathy; weight loss; dizziness; persistent cough; bad breath
Diabetes Mellitus Type 1,palpitations; swelling; sneezing; fatigue; frequent infections; pale skin
Diabetes Mellitus Type 2,speech difficulty; menstrual irregularities; mood swings; hearing loss; muscle pain
Hypoglycemia variant 3,abnormal vaginal bleeding; leg swelling; nasal congestion
Hyperglycemia variant 5,burning urination; bad breath; weakness; edema; yellow eyes
Obesity variant 2,constipation; recurrent infections; blocked urine flow; blurred vision; infertility
Metabolic Syndrome (chronic),eye pain; pelvic pain; urinary frequency; runny nose; tingling; localized pain; blocked urine flow; recurrent infections
Anxiety Disorder (chronic),rash; recurrent infections; nausea; wheezing; vision changes; blurred vision; cold intolerance
Major Depressive Disorder,mood swings; swelling; jaundice; abdominal pain
Bipolar Disorder (chronic),jaundice; slow wound healing; swelling
Schizophrenia (chronic) #138,red eye; cold intolerance; persistent cough; vision changes; chills
PTSD (acute),eye pain; urinary urgency; red eye; fatigue; wheezing; burning urination; heat intolerance; blurred vision
Obsessive Compulsive Disorder,finger clubbing; frequent infections; headache; syncope; easy bruising
Insomnia (chronic),infertility; blood in urine; speech difficulty; recurrent infections; gurgling; trauma history; sweating; chest pain
Substance Use Disorder,cold intolerance; trauma history; halitosis; eye pain
Alcohol Use Disorder,loss of appetite; dizziness; back pain
Smoking Related Disorder (acute),blood in urine; pelvic pain; insomnia; palpitations; cold intolerance; night sweats; trauma history; red eye
Osteomyelitis (chronic),blocked urine flow; eye pain; postmenopausal bleeding; syncope; excessive thirst
Rickets,confusion; blood in urine; menstrual irregularities; pale skin
Scurvy (chronic),itching; joint pain; bloating; chest pain; stridor; runny nose; tingling; memory loss
Dehydration (acute),depression; constipation; stiffness; bad breath; loss of consciousness; red eye
Heat Stroke,heat intolerance; redness; localized pain; numbness
Hypothermia,constipation; weight loss; syncope; red eye
Influenza variant 4,persistent cough; eye pain; vomiting; lymphadenopathy
Common Cold,pale skin; easy bruising; urinary urgency; loss of consciousness; dizziness; anxiety; mood swings; swelling
Pneumonia (chronic),sweating; persistent cough; loss of consciousness; generalized pain; finger clubbing
Bronchitis (acute),frequent infections; blood in urine; speech difficulty; hoarseness
Asthma variant 4,sneezing; frequent infections; weight loss
Chronic Obstructive Pulmonary Disease variant 1,frequent infections; tingling; chest pain; blood in urine
Tuberculosis,excessive thirst; blocked urine flow; tinnitus; recurrent infections; anxiety; loss of appetite; heat intolerance
COVID-19,dizziness; bruising; menstrual irregularities
Sinusitis (acute),bloody cough; balance problems; confusion; breast lump; odor; excessive thirst; syncope; loss of appetite
Allergic Rhinitis variant 3,leg swelling; syncope; red eye; tinnitus; severe pain
Otitis Media #161,urinary urgency; loss of appetite; bad breath; anxiety; finger clubbing; dry mouth; runny nose
Pharyngitis (acute),blurred vision; weakness in limb; headache; constipation
Tonsillitis (chronic),night sweats; bleeding; chills; sweating; jaundice; loss of consciousness; hoarseness
Gastroenteritis variant 2,memory loss; redness; nausea; muscle pain; sneezing
Gastritis variant 3,anxiety; itching; loss of appetite; acne; bleeding; heat intolerance; hallucinations; vomiting
Peptic Ulcer Disease variant 1,leg swelling; chills; dry mouth; polyuria; night sweats; slow wound healing; hair loss
GERD variant 5,cold intolerance; urinary frequency; insomnia; fatigue; chest pain; nausea; leg swelling; odor
Hepatitis A (acute),stiffness; edema; ear pain; odor; excessive thirst; breast pain; hair loss
Hepatitis B,chest pain; tingling; acne; mood swings; swelling; leg swelling; bleeding; balance problems
Hepatitis C,lymphadenopathy; severe pain; infertility; bleeding
Fatty Liver (acute),syncope; localized pain; headache; sweating; eye pain; breast pain
Cirrhosis (acute),tinnitus; ear pain; urinary frequency; cold intolerance; weight gain; pale skin
Pancreatitis,pale skin; wheezing; urinary urgency; infertility; loss of appetite; postmenopausal bleeding; blocked urine flow; speech difficulty
Gallstones (chronic),abdominal pain; pale skin; back pain; tinnitus; constipation; rash; red eye
Appendicitis variant 4,weight gain; diarrhea; weakness; swelling
Irritable Bowel Syndrome (chronic),heat intolerance; breast pain; joint pain; sweating; jaundice; excessive thirst
Ulcerative Colitis variant 1,pale skin; nasal congestion; postmenopausal bleeding; sweating; tingling; speech difficulty; tinnitus; bruising
Crohn's Disease (acute),shortness of breath; vomiting; menstrual irregularities; weakness in limb; floaters; back pain
Diverticulitis (acute),polyuria; burning urination; weakness; redness
Celiac Disease variant 4,dry skin; edema; trauma history; hearing loss; redness; hallucinations
Constipation (chronic),abdominal pain; blurred vision; weight loss
Diarrhea,wheezing; blood in urine; postmenopausal bleeding; infertility; fatigue
Urinary Tract Infection,weakness; insomnia; depression; nasal congestion; blood in urine; anxiety
Pyelonephritis #184,syncope; pelvic pain; weakness in limb; red eye; postmenopausal bleeding
Kidney Stones,itching; hair loss; severe pain; heat intolerance; constipation; loss of appetite; diarrhea
Acute Renal Failure variant 2,blocked urine flow; frequent infections; urinary frequency; depression; blood in urine; abnormal vaginal bleeding
Chronic Kidney Disease (chronic),sneezing; cold intolerance; speech difficulty; infertility
Urinary Incontinence,fatigue; palpitations; weight loss; persistent cough; yellow eyes; recurrent infections; hearing loss
Benign Prostatic Hyperplasia,floaters; night sweats; cold intolerance; speech difficulty; weight loss; jaundice; heat intolerance
Prostatitis,sweating; menstrual irregularities; heat intolerance; stridor; bleeding
Erectile Dysfunction,urinary frequency; weakness in limb; speech difficulty; hallucinations; numbness; loss of consciousness; insomnia
Endometriosis (acute),hearing loss; shortness of breath; blocked urine flow; yellow eyes; trauma history
Polycystic Ovary Syndrome,breast pain; polyuria; bruising
Pelvic Inflammatory Disease variant 5,localized pain; acne; chest pain; dry skin; hearing loss; stiffness; edema; halitosis
Ovarian Cyst (acute),excessive thirst; difficulty swallowing; bloody cough; weakness; polyuria; balance problems; chills
Ectopic Pregnancy,acne; bloody cough; hair loss; bad breath; vaginal discharge; weight gain; severe pain
Preeclampsia (acute),palpitations; excessive thirst; generalized pain; bloating
Gestational Diabetes (chronic),shortness of breath; eye pain; pale skin; breast pain
Pneumothorax,breast lump; localized pain; ear pain; weakness in limb
Pulmonary Embolism,hearing loss; stridor; wheezing; headache; loss of consciousness; weight loss; memory loss
Deep Vein Thrombosis (chronic),depression; jaundice; slow wound healing; balance problems
Myocardial Infarction (acute),vaginal discharge; pale skin; sore throat; floaters; hallucinations; urinary frequency; mood swings
Angina,trauma history; odor; bloody cough; severe pain; leg swelling
Heart Failure (chronic),stiffness; heat intolerance; balance problems; nasal congestion; joint pain; itching; depression; bleeding
Hypertension,bleeding; odor; redness; loss of consciousness
Hypotension,localized pain; loss of consciousness; numbness; pale skin
Arrhythmia variant 5 #207,urinary urgency; depression; frequent infections; bloody cough; itching; redness
Atrial Fibrillation,excessive thirst; trauma history; mood swings
Endocarditis (chronic),menstrual irregularities; urinary urgency; odor; recurrent infections; weight gain; swelling
Pericarditis (chronic),redness; persistent cough; nausea
Rheumatic Heart Disease,eye pain; edema; muscle pain; gurgling; balance problems
Stroke (chronic),sneezing; hallucinations; rash; depression
Transient Ischemic Attack (chronic),rash; weight loss; abdominal pain; heat intolerance; stridor; dry mouth; back pain; joint pain
Migraine (acute),easy bruising; confusion; hoarseness
Tension Headache,difficulty swallowing; weakness; diarrhea; breast lump; yellow eyes; persistent cough; hearing loss; severe pain
Cluster Headache variant 1,fever; anxiety; sweating; breast lump
Meningitis (acute),hearing loss; balance problems; edema; sneezing; abnormal vaginal bleeding; redness; jaundice; leg swelling
Encephalitis,odor; vomiting; edema
Seizure Disorder,difficulty swallowing; hallucinations; stridor; bloody cough; palpitations; sore throat; breast pain
Epilepsy (acute),palpitations; menstrual irregularities; halitosis; tingling
Multiple Sclerosis variant 5,gurgling; swelling; palpitations; cough
Parkinson's Disease (chronic),insomnia; cold intolerance; abdominal pain; yellow eyes; redness
Alzheimer's Disease,leg swelling; mood swings; confusion; tingling; weight loss; weakness in limb
Peripheral Neuropathy,rash; nasal congestion; lymphadenopathy; bloating; yellow eyes; sweating
Bell's Palsy,floaters; leg swelling; muscle pain; persistent cough; runny nose; cough; stridor; urinary frequency
Guillain-Barre Syndrome variant 2,insomnia; trauma history; abnormal vaginal bleeding; nasal congestion; sore throat
Osteoarthritis variant 5,finger clubbing; infertility; vision changes; speech difficulty; jaundice; vomiting; easy bruising
Rheumatoid Arthritis,runny nose; weight loss; balance problems
Gout,joint pain; fever; stiffness; pelvic pain; back pain
Osteoporosis #230,abnormal vaginal bleeding; rash; yellow eyes; bleeding; polyuria; bloody cough
Scoliosis,cough; stiffness; edema; blood in urine; localized pain; back pain; headache
Herniated Disc (acute),constipation; tinnitus; bruising; sweating; infertility; severe pain; weakness in limb; loss of consciousness
Sciatica,localized pain; constipation; finger clubbing; swelling; blocked urine flow
Sprain/Strain (chronic),hoarseness; weight loss; balance problems; night sweats; floaters; gurgling; cold intolerance
Fracture,breast pain; generalized pain; anxiety; hearing loss; abnormal vaginal bleeding
Systemic Lupus Erythematosus,recurrent infections; easy bruising; ear discharge; postmenopausal bleeding; joint pain; severe pain; abnormal vaginal bleeding
Psoriasis (acute),halitosis; nausea; confusion; red eye; loss of consciousness; blood in urine; syncope
Eczema (acute),bloating; headache; anxiety; weakness in limb; sneezing; excessive thirst; hallucinations
Acne (acute),chills; jaundice; memory loss; eye pain
Cellulitis,severe pain; ear pain; persistent cough
Impetigo (chronic),numbness; vomiting; speech difficulty; red eye; lymphadenopathy; headache; floaters
MRSA Infection,speech difficulty; breast pain; floaters; insomnia
Herpes Simplex,depression; tinnitus; trauma history
Herpes Zoster (Shingles) (chronic),bloody cough; shortness of breath; menstrual irregularities; muscle pain; fever
HIV Infection,ear discharge; polyuria; syncope; fatigue; vision changes; urinary urgency; generalized pain; dizziness
AIDS (chronic),headache; dizziness; hearing loss; palpitations; redness; breast lump; runny nose
Mononucleosis variant 1,odor; leg swelling; wheezing; breast pain
Lyme Disease (acute),vaginal discharge; red eye; nausea; severe pain; slow wound healing
Malaria variant 3,weight loss; edema; urinary urgency; constipation; sore throat; hallucinations; menstrual irregularities
Dengue (acute),loss of appetite; wheezing; hoarseness; fever; abnormal vaginal bleeding; shortness of breath; bleeding
Typhoid Fever (chronic),trauma history; bloody cough; mood swings; vision changes; hallucinations; vaginal discharge
Rabies (acute),joint pain; floaters; urinary urgency; night sweats
Tetanus #253,nasal congestion; bloody cough; postmenopausal bleeding; bloating; palpitations
Sepsis (acute),breast pain; heat intolerance; odor; shortness of breath; back pain; ear pain; dizziness; diarrhea
Anemia variant 4,palpitations; red eye; dry skin; trauma history; loss of consciousness; weakness; joint pain
Iron Deficiency Anemia,fatigue; infertility; eye pain; difficulty swallowing; mood swings; ear discharge; abnormal vaginal bleeding; bad breath
Vitamin B12 Deficiency (acute),weight loss; weakness in limb; swelling
Thalassemia,wheezing; excessive thirst; pale skin; dry skin
Hemophilia,jaundice; back pain; bleeding; weight gain; slow wound healing; memory loss; hoarseness; breast lump
Leukemia (acute),itching; headache; depression; dry mouth; stridor
Lymphoma (acute),acne; trauma history; vision changes; depression
Melanoma variant 5,weakness; urinary urgency; leg swelling; easy bruising; vaginal discharge; halitosis
Breast Cancer (acute),pale skin; generalized pain; breast pain; breast lump; night sweats; bleeding; vaginal discharge
Lung Cancer (acute),abnormal vaginal bleeding; hallucinations; hearing loss; back pain
Colon Cancer (chronic),bleeding; loss of consciousness; weight gain; lymphadenopathy
Prostate Cancer,headache; depression; breast lump; breast pain; confusion; weight loss
Cervical Cancer,joint pain; muscle pain; ear pain; yellow eyes; leg swelling; nausea
Endometrial Cancer,blocked urine flow; vomiting; hallucinations; bloody cough; nasal congestion; weakness
Pancreatic Cancer,vaginal discharge; trauma history; cold intolerance; fatigue; syncope
Bladder Cancer (chronic),recurrent infections; postmenopausal bleeding; dry mouth; bloody cough
Skin Cancer (chronic),depression; ear discharge; balance problems; ear pain; yellow eyes; bleeding; cough; nasal congestion
Thyroid Disease (acute),constipation; gurgling; abnormal vaginal bleeding; balance problems; joint pain; generalized pain; cold intolerance; loss of consciousness
Hyperthyroidism,menstrual irregularities; back pain; anxiety; jaundice
Hypothyroidism,vaginal discharge; tinnitus; hallucinations; edema; burning urination
Graves' Disease variant 5,stiffness; blood in urine; speech difficulty; tingling; tinnitus
Hashimoto's Thyroiditis #276,recurrent infections; bloody cough; hearing loss
Adrenal Insufficiency,ear pain; blocked urine flow; pale skin; breast lump; fatigue
Cushing's Syndrome (chronic),hoarseness; stridor; weight gain; shortness of breath; stiffness; anxiety; polyuria
Addison's Disease (acute),bloody cough; breast pain; swelling; night sweats; sneezing; yellow eyes; difficulty swallowing
Diabetes Mellitus Type 1,insomnia; joint pain; tingling; anxiety; edema; severe pain
Diabetes Mellitus Type 2 (acute),muscle pain; postmenopausal bleeding; numbness; bloody cough; leg swelling
Hypoglycemia variant 2,numbness; floaters; chills; wheezing; frequent infections; burning urination; weight loss; bloody cough
Hyperglycemia,numbness; runny nose; mood swings; leg swelling; headache; confusion; palpitations
Obesity (chronic),easy bruising; weakness; postmenopausal bleeding
Metabolic Syndrome,breast lump; weight loss; acne
Anxiety Disorder,dizziness; loss of consciousness; night sweats; cough
Major Depressive Disorder,weakness in limb; floaters; blocked urine flow; headache
Bipolar Disorder,finger clubbing; easy bruising; heat intolerance; balance problems; slow wound healing; numbness; shortness of breath
Schizophrenia (chronic),hallucinations; anxiety; breast lump
PTSD,shortness of breath; confusion; bloody cough
Obsessive Compulsive Disorder (acute),hallucinations; redness; shortness of breath; weakness in limb; generalized pain
Insomnia,blurred vision; lymphadenopathy; sore throat; abdominal pain; diarrhea; confusion; night sweats; back pain
Substance Use Disorder,hair loss; confusion; muscle pain; burning urination
Alcohol Use Disorder (chronic),frequent infections; menstrual irregularities; nausea; blocked urine flow; infertility
Smoking Related Disorder,insomnia; joint pain; generalized pain; hoarseness; bleeding; severe pain
Osteomyelitis variant 3,edema; postmenopausal bleeding; palpitations
Rickets,infertility; vaginal discharge; anxiety
Scurvy,headache; finger clubbing; cough; generalized pain; chills; nausea
Dehydration (chronic) #299,blurred vision; leg swelling; halitosis; yellow eyes; insomnia; diarrhea
Heat Stroke,fatigue; difficulty swallowing; ear discharge; localized pain; insomnia; hearing loss; rash
Hypothermia variant 3,syncope; severe pain; itching
Influenza,insomnia; slow wound healing; palpitations; sore throat; pale skin; shortness of breath; ear pain
Common Cold,weight gain; abnormal vaginal bleeding; persistent cough; menstrual irregularities; syncope; bleeding; sweating
Pneumonia (chronic),back pain; insomnia; pelvic pain; trauma history; mood swings; yellow eyes; abnormal vaginal bleeding
Bronchitis,weight loss; frequent infections; localized pain; bloody cough; nausea; weakness in limb; gurgling; urinary urgency
Asthma variant 5,diarrhea; blurred vision; difficulty swallowing
Chronic Obstructive Pulmonary Disease (chronic),urinary frequency; cold intolerance; odor
Tuberculosis (acute),dry skin; menstrual irregularities; bad breath; jaundice; chest pain; finger clubbing; rash
COVID-19,numbness; difficulty swallowing; burning urination; anxiety; vaginal discharge; blurred vision
Sinusitis (chronic),severe pain; polyuria; slow wound healing; vaginal discharge
Allergic Rhinitis,odor; hair loss; swelling
Otitis Media,persistent cough; syncope; nausea; rash
Pharyngitis (acute),vaginal discharge; persistent cough; halitosis; finger clubbing
Tonsillitis,stridor; pelvic pain; pale skin; blood in urine
Gastroenteritis (chronic),vomiting; fever; bruising
Gastritis,blood in urine; postmenopausal bleeding; rash; abdominal pain; loss of appetite; vomiting
Peptic Ulcer Disease variant 5,blurred vision; red eye; depression; speech difficulty
GERD (acute),abdominal pain; chest pain; vomiting; burning urination; anxiety; dry skin
Hepatitis A,halitosis; jaundice; pelvic pain; cough; swelling; breast lump; bad breath
Hepatitis B (chronic),bloody cough; depression; joint pain
Hepatitis C (acute),memory loss; chills; severe pain; vaginal discharge; weight loss; rash; bleeding
Fatty Liver variant 5 #322,tingling; weight gain; dizziness; chills; blurred vision
Cirrhosis,breast pain; bleeding; balance problems; halitosis; syncope
Pancreatitis variant 2,muscle pain; joint pain; bloody cough; acne; tingling
Gallstones variant 1,heat intolerance; sneezing; floaters; abdominal pain; weight loss; bleeding; fever
Appendicitis,yellow eyes; hair loss; vaginal discharge; recurrent infections; eye pain; blurred vision
Irritable Bowel Syndrome,dry skin; weight loss; bleeding; jaundice; cold intolerance; localized pain; sneezing; balance problems
Ulcerative Colitis,sore throat; menstrual irregularities; pale skin; swelling; stridor
Crohn's Disease,finger clubbing; numbness; excessive thirst; halitosis; joint pain; jaundice; vaginal discharge; itching
Diverticulitis (acute),blood in urine; bloating; insomnia; sneezing; dry mouth; mood swings
Celiac Disease,severe pain; odor; anxiety; chest pain
Constipation variant 4,tinnitus; loss of consciousness; ear pain; eye pain; recurrent infections; swelling; localized pain; dizziness
Diarrhea (chronic),trauma history; tingling; weight loss; finger clubbing; bleeding; back pain
Urinary Tract Infection,slow wound healing; night sweats; persistent cough; vision changes; frequent infections
Pyelonephritis,syncope; red eye; dry skin; balance problems; polyuria; infertility
Kidney Stones (chronic),weakness in limb; localized pain; breast pain; mood swings; palpitations; frequent infections; blood in urine
Acute Renal Failure,lymphadenopathy; hallucinations; dry skin; finger clubbing; nausea; abdominal pain; odor; joint pain
Chronic Kidney Disease variant 2,easy bruising; burning urination; chills; leg swelling; heat intolerance; fatigue; insomnia; trauma history
